t,x
0.0000000000, -0.0011422892
0.0009424778, -0.0022845785
0.0018849556, -0.0034268669
0.0028274334, -0.0045691536
0.0037699112, -0.0057114378
0.0047123890, -0.0068537186
0.0056548668, -0.0079959953
0.0065973446, -0.0091382670
0.0075398224, -0.0102805328
0.0084823002, -0.0114227918
0.0094247780, -0.0125650434
0.0103672558, -0.0137072866
0.0113097336, -0.0148495206
0.0122522113, -0.0159917445
0.0131946891, -0.0171339576
0.0141371669, -0.0182761589
0.0150796447, -0.0194183477
0.0160221225, -0.0205605230
0.0169646003, -0.0217026842
0.0179070781, -0.0228448303
0.0188495559, -0.0239869604
0.0197920337, -0.0251290739
0.0207345115, -0.0262711697
0.0216769893, -0.0274132471
0.0226194671, -0.0285553053
0.0235619449, -0.0296973434
0.0245044227, -0.0308393606
0.0254469005, -0.0319813560
0.0263893783, -0.0331233288
0.0273318561, -0.0342652781
0.0282743339, -0.0354072032
0.0292168117, -0.0365491032
0.0301592895, -0.0376909772
0.0311017673, -0.0388328245
0.0320442451, -0.0399746441
0.0329867229, -0.0411164352
0.0339292007, -0.0422581971
0.0348716785, -0.0433999288
0.0358141563, -0.0445416296
0.0367566340, -0.0456832986
0.0376991118, -0.0468249349
0.0386415896, -0.0479665377
0.0395840674, -0.0491081062
0.0405265452, -0.0502496396
0.0414690230, -0.0513911370
0.0424115008, -0.0525325975
0.0433539786, -0.0536740204
0.0442964564, -0.0548154048
0.0452389342, -0.0559567499
0.0461814120, -0.0570980548
0.0471238898, -0.0582393187
0.0480663676, -0.0593805407
0.0490088454, -0.0605217201
0.0499513232, -0.0616628559
0.0508938010, -0.0628039474
0.0518362788, -0.0639449937
0.0527787566, -0.0650859940
0.0537212344, -0.0662269474
0.0546637122, -0.0673678531
0.0556061900, -0.0685087103
0.0565486678, -0.0696495182
0.0574911456, -0.0707902758
0.0584336234, -0.0719309824
0.0593761012, -0.0730716371
0.0603185789, -0.0742122391
0.0612610567, -0.0753527875
0.0622035345, -0.0764932816
0.0631460123, -0.0776337205
0.0640884901, -0.0787741033
0.0650309679, -0.0799144292
0.0659734457, -0.0810546974
0.0669159235, -0.0821949070
0.0678584013, -0.0833350572
0.0688008791, -0.0844751472
